ROLLINGDB_ID,Coll2014,Freschi2020,Lipworth2019,Shitikov2017,Stucki2016,F2,Lineage
SAMEA1015921,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.008364184834773,2
SAMEA1015922,2.2.1,2.2.1.1.1.i3,beijing,"lin2.2.1,central_asia",,0.0111351171680239,2
SAMEA1015923,2.2.1,2.2.1.1.1.i3,"beijing,mungi,canetti","lin2.2.1,central_asia",,0.0093753184551105,2
SAMEA1015929,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0085357846355876,2
SAMEA1015931,4.2.1,4.2.2.2.1,"ural,canetti",,4,0.0136363636363636,4
SAMEA1015932,2.2.1,2.2.1.1.1,beijing,"europe/russia_B0/W148_outbreak,lin2.2.1",,0.0081113668749314,2
SAMEA1015933,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0065681444991789,2
SAMEA1015935,4.1.2.1,4.1.i1.1.1.1,haarlem,,4.1.2/Haarlem,0.0108255671655841,4
SAMEA1015936,4.8,4.2.1.1.1.1.1.1.i1,canetti,,4.10/PGG3,0.0060956548921537,4
SAMEA1015937,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0105456212746446,4
SAMEA1015939,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0046407700240632,4
SAMEA1015940,4.2.1,4.2.2.2.1,"ural,canetti",,4,0.0119165839126117,4
SAMEA1015941,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0110610405571487,2
SAMEA1015943,2.2.1,2.2.1.1.1,"beijing,mungi","europe/russia_B0/W148_outbreak,lin2.2.1",,0.0063601203266007,2
SAMEA1015944,4.8,4.2.1.1.1.1.1.1.i1,ethiopian,,4.10/PGG3,0.0033190160093713,4
SAMEA1015949,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0091517071453713,2
SAMEA1015951,2.2.1,2.2.1.1.1.i3,beijing,"lin2.2.1,central_asia",,0.0063685352368955,2
SAMEA1015954,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.004107713372889,4
SAMEA1015957,2.2.1,2.2.1.1.1,"beijing,mungi","europe/russia_B0/W148_outbreak,lin2.2.1",,0.0072833211944646,2
SAMEA1015958,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.021629583688658,4
SAMEA1015959,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0057964293994899,4
SAMEA1015960,2.2.1,2.2.1.1.1.i3,beijing,"lin2.2.1,central_asia",,0.0080990948070509,2
SAMEA1015961,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0059116940698318,2
SAMEA1015962,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0086567997765987,2
SAMEA1015968,2.2.1,2.2.1.1.1,beijing,"europe/russia_B0/W148_outbreak,lin2.2.1",,0.008512708257327,2
SAMEA1015969,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0069647463456577,2
SAMEA1015973,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0078064870808136,2
SAMEA1015975,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.0160840660518979,4
SAMEA1015977,4.2.1,4.2.2.2.1,"ural,canetti",,4,0.0116521015397419,4
SAMEA1015978,2.2.1,2.2.1.1.1.i3,beijing,"lin2.2.1,central_asia",,0.0077977612878883,2
SAMEA1015979,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0095702105446319,2
SAMEA1015980,4.8,4.2.1.1.1.1.1.1.i1,beijing,,4.10/PGG3,0.0381074168797953,4
SAMEA1015982,2.2.1,2.2.1.1.1.i3,beijing,"lin2.2.1,central_asia",,0.0089267178741955,2
SAMEA1015985,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0074571766095688,2
SAMEA1015986,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0081378144155569,2
SAMEA1015987,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0060455575947317,2
SAMEA1015988,4.1.2.1,4.1.i1.1.1.1,haarlem,,4.1.2/Haarlem,0.0109077687553023,4
SAMEA1015989,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0036884356693425,4
SAMEA1015990,2.2.1,2.2.1.1.1,"beijing,mungi","europe/russia_B0/W148_outbreak,lin2.2.1",,0.0066006600660066,2
SAMEA1015991,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0081006182050735,2
SAMEA1015995,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0111039931667734,2
SAMEA1015996,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0081788440567066,2
SAMEA1015997,4.2.1,4.2.2.2.1,"ural,canetti",,4,0.0146362009055491,4
SAMEA1015998,2.2.1,2.2.1.1.1,"beijing,mungi","europe/russia_B0/W148_outbreak,lin2.2.1",,0.0076155462184873,2
SAMEA1016000,4.8,4.2.1.1.1.1.1.1.i1,westafrican1,,4.10/PGG3,0.0054005400540054,4
SAMEA1016002,2.2.1,2.2.1.1.1.i3,beijing,"lin2.2.1,central_asia",,0.0062858704564088,2
SAMEA1016004,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0077519379844961,2
SAMEA1016005,4.8,4.2.1.1.1.1.1.1.i1,orygis,,4.10/PGG3,0.0408249752789942,4
SAMEA1016006,2.2.1,2.2.1.1.1,"beijing,mungi","europe/russia_B0/W148_outbreak,lin2.2.1",,0.0073159579332418,2
SAMEA1016007,2.2.1,2.2.1.1.1,"beijing,mungi","europe/russia_B0/W148_outbreak,lin2.2.1",,0.0060455743295613,2
SAMEA1016008,2.2.1,2.2.1.1.2,"beijing,canetti,mungi","lin2.2.1,asia_ancestral_2",,0.0067750677506775,2
SAMEA1016010,2.2.1,2.2.1.1.1.i3,beijing,"lin2.2.1,central_asia",,0.0060290814517082,2
SAMEA1016011,2.2.1,2.2.1.1.1.i3,"beijing,mungi","lin2.2.1,central_asia",,0.0043991494977637,2
SAMEA1016013,2.2.1,2.2.1.1.1,"beijing,mungi","europe/russia_B0/W148_outbreak,lin2.2.1",,0.0069930069930069,2
