drug,heldout_lineage,model,N,N_S,N_R,AUC,acc,loss,threshold,specificity_S,sensitivity_R,balanced_accuracy,train_N,train_N_S,train_N_R,feasible,test_result_available
AMIKACIN,2,evo2_7b_lora_finetuned,1221,903,318,0.6668564602965655,0.26044226044226043,0.598327052998406,1.0,0.0,1.0,0.5,2484,2095,389,True,True
AMIKACIN,4,evo2_7b_lora_finetuned,2256,1948,308,0.8205960492279794,0.9308510638297872,0.4390230053162255,0.42,0.9917864476386037,0.5454545454545454,0.7686204965465746,1449,1050,399,True,True
CAPREOMYCIN,2,evo2_7b_lora_finetuned,1323,1025,298,0.8874349320674415,0.2252456538170824,0.5415820479730901,1.0,0.0,1.0,0.5,2531,2154,377,True,True
CAPREOMYCIN,4,evo2_7b_lora_finetuned,2279,1929,350,0.7364252388358143,0.9139973672663448,0.291332273701138,0.76,0.9870399170554691,0.5114285714285715,0.7492342442420203,1575,1250,325,True,True
ETHAMBUTOL,1,evo2_7b_lora_finetuned,1362,1270,92,0.3157009585758302,0.06754772393538913,0.3628697011964437,0.75,0.0,1.0,0.5,13748,10895,2853,True,True
ETHAMBUTOL,2,evo2_7b_lora_finetuned,3097,1939,1158,0.5724669340623026,0.37391023571197934,0.7501514139177724,1.0,0.0,1.0,0.5,12013,10226,1787,True,True
ETHAMBUTOL,3,evo2_7b_lora_finetuned,2521,2323,198,0.5187377433395514,0.07854026180087267,0.37462725496538,1.0,0.0,1.0,0.5,12589,9842,2747,True,True
ETHAMBUTOL,4,evo2_7b_lora_finetuned,7883,6408,1475,0.49820393999026624,0.18711150577191424,0.4890517102334458,1.0,0.0,1.0,0.5,7227,5757,1470,True,True
ETHIONAMIDE,2,evo2_7b_lora_finetuned,596,382,214,0.5564295150951706,0.6426174496644296,0.6667491847636716,0.71,0.9947643979057592,0.014018691588785047,0.5043915447472721,1557,1081,476,True,True
ETHIONAMIDE,4,evo2_7b_lora_finetuned,1435,979,456,0.5496635485547372,0.6822299651567945,0.6573770146752068,0.55,0.9938712972420838,0.013157894736842105,0.5035145959894629,718,484,234,True,True
ISONIAZID,1,evo2_7b_lora_finetuned,1583,1274,309,0.8507440317426449,0.9121920404295641,0.30701452005591034,0.9,0.9937205651491365,0.5760517799352751,0.7848861725422058,15852,10336,5516,True,True
ISONIAZID,2,evo2_7b_lora_finetuned,3457,1499,1958,0.9324791604345014,0.9074341914955163,0.3170399041897581,0.89,0.9753168779186124,0.855464759959142,0.9153908189388772,13978,10111,3867,True,True
ISONIAZID,3,evo2_7b_lora_finetuned,2791,2156,635,0.8997337589294845,0.9480472948763884,0.22517891728463715,0.85,0.9981447124304267,0.7779527559055118,0.8880487341679693,14644,9454,5190,True,True
ISONIAZID,4,evo2_7b_lora_finetuned,9348,6483,2865,0.5046008637437852,0.3064826700898588,0.6293465266491186,1.0,0.0,1.0,0.5,8087,5127,2960,True,True
KANAMYCIN,2,evo2_7b_lora_finetuned,930,660,270,0.8938608305274972,0.921505376344086,0.28030751599900183,0.92,0.9863636363636363,0.762962962962963,0.8746632996632997,2646,2213,433,True,True
KANAMYCIN,4,evo2_7b_lora_finetuned,2353,1988,365,0.8027776246520216,0.15512112197195072,0.4591528526327228,1.0,0.0,1.0,0.5,1223,885,338,True,True
MOXIFLOXACIN,2,evo2_7b_lora_finetuned,887,682,205,0.8399041556397968,0.8861330326944757,0.3646178762717204,0.8300000000000001,0.9296187683284457,0.7414634146341463,0.835541091481296,1981,1798,183,True,True
MOXIFLOXACIN,4,evo2_7b_lora_finetuned,1788,1612,176,0.7160941377171216,0.8344519015659956,0.2531830773415915,0.91,0.8672456575682382,0.5340909090909091,0.7006682833295736,1080,868,212,True,True
PYRAZINAMIDE,1,evo2_7b_lora_finetuned,983,898,85,,,,,,,,11920,9874,2046,True,False
PYRAZINAMIDE,2,evo2_7b_lora_finetuned,2392,1665,727,0.7856979400308151,0.3039297658862876,0.7038826145057295,1.0,0.0,1.0,0.5,10511,9107,1404,True,True
PYRAZINAMIDE,3,evo2_7b_lora_finetuned,2417,2257,160,0.7367758639787327,0.06619776582540339,0.26055430145884134,1.0,0.0,1.0,0.5,10486,8515,1971,True,True
PYRAZINAMIDE,4,evo2_7b_lora_finetuned,6889,5832,1057,0.692295095210842,0.9140659021628683,0.43000855849181674,0.8200000000000001,0.9717078189300411,0.5960264900662252,0.7838671544981332,6014,4940,1074,True,True
RIFAMPICIN,1,evo2_7b_lora_finetuned,1625,1459,166,0.954519930303806,0.9741538461538461,0.0969587561660088,0.96,0.9856065798492117,0.8734939759036144,0.9295502778764131,15956,11253,4703,True,True
RIFAMPICIN,2,evo2_7b_lora_finetuned,3509,1680,1829,0.9671519045015491,0.9521231119977202,0.24172140406094328,0.99,0.9517857142857142,0.9524330235101148,0.9521093688979145,14072,11032,3040,True,True
RIFAMPICIN,3,evo2_7b_lora_finetuned,2793,2326,467,0.9652310442792675,0.9781596849266022,0.17571589224256584,0.85,0.9918314703353397,0.9100642398286938,0.9509478550820167,14788,10386,4402,True,True
RIFAMPICIN,4,evo2_7b_lora_finetuned,9403,7030,2373,0.9608986589890177,0.9643730724236945,0.18986904888432565,0.71,0.9869132290184922,0.8975979772439949,0.9422556031312436,8178,5682,2496,True,True
STREPTOMYCIN,1,evo2_7b_lora_finetuned,658,593,65,0.46820599299520044,0.09878419452887538,0.5053763133233079,1.0,0.0,1.0,0.5,7024,4673,2351,True,True
STREPTOMYCIN,2,evo2_7b_lora_finetuned,1966,907,1059,0.8931961358149237,0.5386571719226857,0.8866759234563744,1.0,0.0,1.0,0.5,5716,4359,1357,True,True
STREPTOMYCIN,3,evo2_7b_lora_finetuned,515,433,82,0.8040049569086914,0.8407766990291262,0.5347353213620417,0.64,1.0,0.0,0.5,7167,4833,2334,True,True
