drug,heldout_lineage,model,N,N_S,N_R,AUC,acc,threshold,specificity_S,sensitivity_R,balanced_accuracy,train_N,train_N_S,train_N_R,feasible,min_class_count,test_result_available
AMIKACIN,1,Evo2-DNABERTCNN,51,41,10,,,,,,,3654,2957,697,False,50,False
AMIKACIN,2,Evo2-DNABERTCNN,1221,903,318,0.8975358170180461,0.9287469287469288,0.019999999552965164,0.9867109634551495,0.7641509433962265,0.875430953425688,2484,2095,389,True,50,True
AMIKACIN,3,Evo2-DNABERTCNN,133,86,47,,,,,,,3572,2912,660,False,50,False
AMIKACIN,4,Evo2-DNABERTCNN,2256,1948,308,0.7817916811114963,0.9304078014184397,0.0,0.9912731006160165,0.5454545454545454,0.768363823035281,1449,1050,399,True,50,True
CAPREOMYCIN,1,Evo2-DNABERTCNN,58,56,2,,,,,,,3796,3123,673,False,50,False
CAPREOMYCIN,2,Evo2-DNABERTCNN,1323,1025,298,0.8819397610083483,0.91005291005291,0.0,0.9590243902439024,0.7416107382550335,0.850317564249468,2531,2154,377,True,50,True
CAPREOMYCIN,3,Evo2-DNABERTCNN,160,145,15,,,,,,,3694,3034,660,False,50,False
CAPREOMYCIN,4,Evo2-DNABERTCNN,2279,1929,350,0.7672035843886544,0.9139973672663448,0.44999998807907104,0.9870399170554691,0.5114285714285715,0.7492342442420203,1575,1250,325,True,50,True
ETHAMBUTOL,1,Evo2-DNABERTCNN,1362,1270,92,,,,,,,13748,10895,2853,True,50,False
ETHAMBUTOL,2,Evo2-DNABERTCNN,3097,1939,1158,,,,,,,12013,10226,1787,True,50,False
ETHAMBUTOL,3,Evo2-DNABERTCNN,2521,2323,198,,,,,,,12589,9842,2747,True,50,False
ETHAMBUTOL,4,Evo2-DNABERTCNN,7883,6408,1475,,,,,,,7227,5757,1470,True,50,False
ETHIONAMIDE,1,Evo2-DNABERTCNN,24,13,11,,,,,,,2129,1450,679,False,50,False
ETHIONAMIDE,2,Evo2-DNABERTCNN,596,382,214,0.6568111758085825,0.35906040268456374,0.0,0.0,1.0,0.5,1557,1081,476,True,50,True
ETHIONAMIDE,3,Evo2-DNABERTCNN,65,59,6,,,,,,,2088,1404,684,False,50,False
ETHIONAMIDE,4,Evo2-DNABERTCNN,1435,979,456,0.5626344013762701,0.6829268292682927,0.17000000178813934,1.0,0.0021929824561403508,0.5010964912280702,718,484,234,True,50,True
ISONIAZID,1,Evo2-DNABERTCNN,1583,1274,309,0.850430314022547,0.930511686670878,0.7699999809265137,0.9921507064364207,0.6763754045307443,0.8342630554835825,15852,10336,5516,True,50,True
ISONIAZID,2,Evo2-DNABERTCNN,3457,1499,1958,0.9403928461671078,0.9155336997396587,0.8400000333786011,0.9746497665110073,0.8702757916241062,0.9224627790675568,13978,10111,3867,True,50,True
ISONIAZID,3,Evo2-DNABERTCNN,2791,2156,635,0.9107745460388881,0.951988534575421,0.8100000023841858,0.9976808905380334,0.7968503937007874,0.8972656421194104,14644,9454,5190,True,50,True
ISONIAZID,4,Evo2-DNABERTCNN,9348,6483,2865,0.8927799353874638,0.9072528883183568,0.7900000214576721,0.994447015270708,0.7099476439790576,0.8521973296248828,8087,5127,2960,True,50,True
KANAMYCIN,1,Evo2-DNABERTCNN,75,68,7,,,,,,,3501,2805,696,False,50,False
KANAMYCIN,2,Evo2-DNABERTCNN,930,660,270,0.9042620650953985,0.7096774193548387,0.0,1.0,0.0,0.5,2646,2213,433,True,50,True
KANAMYCIN,3,Evo2-DNABERTCNN,177,138,39,,,,,,,3399,2735,664,False,50,False
KANAMYCIN,4,Evo2-DNABERTCNN,2353,1988,365,0.7795044238030925,0.15512112197195072,0.0,0.0,1.0,0.5,1223,885,338,True,50,True
MOXIFLOXACIN,1,Evo2-DNABERTCNN,61,61,0,,,,,,,2807,2419,388,False,50,False
MOXIFLOXACIN,2,Evo2-DNABERTCNN,887,682,205,0.8746083971103641,0.7688838782412627,0.0,1.0,0.0,0.5,1981,1798,183,True,50,True
MOXIFLOXACIN,3,Evo2-DNABERTCNN,122,115,7,,,,,,,2746,2365,381,False,50,False
MOXIFLOXACIN,4,Evo2-DNABERTCNN,1788,1612,176,0.7393465909090908,0.901565995525727,0.0,1.0,0.0,0.5,1080,868,212,True,50,True
PYRAZINAMIDE,1,Evo2-DNABERTCNN,983,898,85,0.8141425389755012,0.9175991861648016,0.7699999809265137,0.9398663697104677,0.6823529411764706,0.8111096554434691,11920,9874,2046,True,50,True
PYRAZINAMIDE,2,Evo2-DNABERTCNN,2392,1665,727,0.8355015262855703,0.842809364548495,0.75,0.818018018018018,0.8995873452544704,0.8588026816362442,10511,9107,1404,True,50,True
PYRAZINAMIDE,3,Evo2-DNABERTCNN,2417,2257,160,0.5343542312804608,0.22217625155151013,0.5,0.1683650863978733,0.98125,0.5748075431989366,10486,8515,1971,True,50,True
