row_id,Lineage,label,split
0,2,0,train
1,2,0,train
2,4,0,test
5,4,0,test
7,4,0,test
8,4,0,test
9,4,0,test
10,4,0,test
11,4,0,test
12,4,1,test
13,4,1,test
14,2,0,train
15,4,1,test
17,4,1,test
19,4,1,test
21,4,1,test
23,4,1,test
24,4,1,test
25,4,0,test
26,2,0,train
27,4,1,test
28,4,1,test
29,4,1,test
30,4,0,test
31,4,1,test
32,2,0,train
33,2,1,train
35,4,0,test
36,4,0,test
37,4,0,test
38,4,0,test
40,4,0,test
41,4,1,test
42,4,0,test
43,4,1,test
44,2,0,train
52,4,1,test
53,4,1,test
54,4,1,test
55,4,0,test
56,2,0,train
57,4,0,test
58,4,0,test
60,4,1,test
61,4,0,test
62,4,0,test
64,4,0,test
65,2,1,train
66,4,0,test
67,4,0,test
68,4,1,test
69,4,0,test
70,4,0,test
71,4,0,test
72,4,1,test
73,4,1,test
87,4,0,test
88,4,0,test
89,4,0,test
90,4,0,test
91,4,0,test
92,4,0,test
93,2,1,train
94,2,1,train
95,4,1,test
96,2,0,train
97,4,0,test
98,4,0,test
99,4,0,test
100,4,0,test
101,4,1,test
103,4,1,test
104,2,0,train
105,2,0,train
106,4,0,test
107,4,1,test
108,4,0,test
109,2,0,train
110,4,0,test
112,2,0,train
113,4,1,test
114,4,0,test
115,2,1,train
116,4,0,test
117,2,1,train
118,2,0,train
122,2,0,train
123,2,1,train
124,2,0,train
125,2,1,train
126,2,0,train
127,2,0,train
128,2,0,train
129,2,0,train
130,2,1,train
131,2,1,train
132,2,0,train
133,4,0,test
134,2,1,train
142,1,0,train
147,2,0,train
150,2,1,train
151,2,0,train
152,2,0,train
153,2,1,train
154,2,0,train
155,2,0,train
156,1,0,train
157,2,0,train
158,2,1,train
159,2,0,train
160,2,1,train
161,2,1,train
162,"2,4",0,train
163,2,0,train
164,2,1,train
165,2,1,train
166,2,1,train
167,2,0,train
168,2,1,train
169,2,1,train
170,2,1,train
171,2,1,train
172,2,0,train
173,2,1,train
174,2,1,train
175,2,1,train
176,2,1,train
177,4,1,test
178,2,0,train
179,2,1,train
180,1,1,train
181,2,0,train
182,2,1,train
183,2,0,train
184,2,0,train
185,2,1,train
186,2,0,train
187,2,1,train
188,2,1,train
189,2,1,train
190,4,1,test
191,4,0,test
192,4,1,test
193,4,1,test
194,4,0,test
195,4,1,test
196,4,1,test
197,4,1,test
198,4,1,test
199,4,1,test
200,4,1,test
201,4,1,test
202,4,1,test
203,4,1,test
204,4,1,test
205,4,1,test
206,4,1,test
207,2,1,train
208,4,1,test
209,4,0,test
210,4,1,test
211,4,1,test
212,2,1,train
213,2,1,train
214,4,0,test
215,4,1,test
216,4,1,test
217,4,1,test
218,4,1,test
219,2,1,train
220,4,1,test
221,4,1,test
222,4,1,test
223,4,1,test
224,4,0,test
225,4,0,test
226,4,1,test
227,4,0,test
228,4,0,test
229,4,0,test
230,4,1,test
231,4,1,test
232,4,1,test
233,4,0,test
234,4,1,test
241,4,0,test
263,4,0,test
268,4,0,test
269,4,1,test
281,4,1,test
282,4,0,test
283,2,0,train
284,1,1,train
285,4,0,test
286,4,1,test
287,4,0,test
288,4,1,test
289,2,0,train
290,4,1,test
291,4,0,test
292,BOV_AFRI,0,train
293,4,1,test
294,2,1,train
295,3,1,train
296,4,0,test
297,4,1,test
298,2,0,train
299,2,1,train
300,2,1,train
301,1,0,train
302,2,1,train
304,4,0,test
310,2,1,train
312,4,1,test
313,4,1,test
314,1,1,train
315,4,0,test
316,2,1,train
317,4,1,test
318,1,0,train
319,4,1,test
320,2,0,train
321,1,1,train
322,4,1,test
323,4,1,test
324,2,1,train
383,4,0,test
384,4,1,test
385,4,0,test
386,4,0,test
389,4,0,test
390,4,1,test
391,4,1,test
392,4,0,test
396,4,1,test
397,4,1,test
399,4,0,test
400,4,0,test
401,4,1,test
402,4,1,test
403,4,0,test
404,4,1,test
405,4,1,test
407,4,1,test
408,2,0,train
410,4,1,test
411,2,1,train
414,4,0,test
415,4,0,test
417,4,0,test
418,4,0,test
420,4,0,test
421,4,0,test
422,4,1,test
424,4,1,test
425,4,0,test
426,4,0,test
427,4,1,test
429,4,0,test
433,4,1,test
437,4,0,test
438,2,0,train
439,4,1,test
440,4,1,test
443,4,1,test
444,4,0,test
445,4,1,test
447,4,1,test
448,4,0,test
451,4,0,test
452,4,0,test
453,4,1,test
459,4,1,test
460,4,1,test
461,4,1,test
462,4,1,test
468,4,1,test
470,4,1,test
471,4,1,test
483,4,1,test
488,4,1,test
496,4,1,test
498,4,1,test
499,4,0,test
504,4,1,test
511,4,1,test
523,4,1,test
530,4,0,test
534,4,1,test
541,4,1,test
558,4,1,test
559,4,1,test
565,4,1,test
569,4,1,test
575,2,1,train
590,4,1,test
598,4,1,test
