row_id,Lineage,label,split
0,2,1,train
1,2,0,train
2,4,0,train
7,4,0,train
8,4,0,train
10,4,0,train
12,4,1,train
13,4,1,train
14,4,0,train
15,4,0,train
17,4,0,train
19,4,1,train
20,4,1,train
21,4,1,train
22,4,1,train
23,4,1,train
24,2,1,train
25,4,0,train
26,4,1,train
27,2,1,train
28,2,1,train
29,4,0,train
31,4,0,train
32,4,0,train
33,4,0,train
36,4,1,train
37,4,0,train
41,4,0,train
43,4,0,train
44,4,0,train
53,2,1,train
54,2,1,train
55,2,0,train
60,2,1,train
61,2,0,train
64,2,0,train
67,2,1,train
68,4,1,train
69,2,0,train
88,2,1,train
92,2,1,train
95,2,1,train
96,2,0,train
97,"2,4",1,train
99,2,1,train
106,2,0,train
110,2,0,train
117,2,1,train
131,2,0,train
134,4,1,train
150,2,1,train
162,2,1,train
166,4,1,train
167,4,1,train
168,4,1,train
169,4,1,train
170,4,0,train
171,4,1,train
172,4,1,train
173,4,1,train
174,4,1,train
175,4,1,train
176,4,1,train
177,4,1,train
178,4,1,train
179,4,1,train
180,4,1,train
181,4,1,train
182,2,1,train
183,4,0,train
184,4,1,train
185,4,1,train
186,4,1,train
187,2,1,train
188,2,1,train
189,2,1,train
190,2,1,train
191,2,1,train
192,2,1,train
193,2,1,train
194,2,1,train
195,2,1,train
196,4,1,train
197,4,1,train
198,4,1,train
199,4,1,train
200,4,1,train
201,2,1,train
202,4,1,train
203,4,1,train
204,4,1,train
205,4,1,train
206,4,1,train
207,4,1,train
208,4,1,train
209,4,1,train
210,4,1,train
211,4,1,train
212,4,1,train
213,4,1,train
214,4,1,train
215,4,1,train
216,4,1,train
217,3,1,train
218,2,1,train
219,4,1,train
220,2,1,train
221,4,1,train
222,4,1,train
223,4,1,train
224,4,1,train
225,2,1,train
226,4,1,train
227,4,1,train
228,4,1,train
229,4,1,train
230,4,1,train
231,4,1,train
232,4,1,train
233,4,1,train
234,4,1,train
235,4,1,train
236,4,1,train
237,4,1,train
238,4,1,train
239,4,1,train
240,4,1,train
241,4,1,train
242,4,0,train
243,4,0,train
244,4,1,train
245,4,1,train
246,4,1,train
247,4,1,train
248,4,1,train
249,4,1,train
250,4,1,train
251,4,1,train
252,4,0,train
253,4,0,train
254,4,1,train
255,4,0,train
256,4,1,train
257,4,1,train
258,4,1,train
260,4,1,train
262,4,0,train
263,4,1,train
264,4,1,train
265,4,1,train
266,4,0,train
267,4,0,train
268,4,1,train
269,4,0,train
270,4,1,train
271,2,0,train
272,4,1,train
273,4,1,train
274,4,1,train
275,4,0,train
276,4,1,train
277,4,1,train
278,4,1,train
279,4,1,train
280,4,1,train
281,4,1,train
282,4,1,train
283,4,1,train
284,4,1,train
285,4,1,train
286,4,1,train
287,4,1,train
288,4,1,train
289,4,1,train
290,4,1,train
291,4,1,train
292,4,1,train
293,4,1,train
294,4,1,train
295,4,1,train
296,4,1,train
297,4,1,train
298,4,0,train
299,4,1,train
300,4,1,train
301,4,1,train
302,4,1,train
303,4,1,train
304,2,0,train
305,4,1,train
306,4,0,train
307,2,1,train
308,4,1,train
309,4,1,train
310,4,0,train
311,4,1,train
312,4,1,train
313,4,1,train
314,4,1,train
315,4,1,train
316,4,1,train
317,4,1,train
318,4,1,train
319,4,1,train
320,4,1,train
321,4,1,train
322,4,1,train
323,4,1,train
324,4,1,train
382,2,1,train
383,4,0,train
384,4,1,train
385,4,0,train
386,4,1,train
390,4,1,train
391,4,0,train
392,4,0,train
813,4,0,train
814,4,1,train
816,4,0,train
848,4,1,train
849,4,1,train
850,4,1,train
851,4,1,train
852,4,1,train
853,4,1,train
854,4,1,train
855,4,1,train
856,4,1,train
857,4,1,train
858,4,1,train
859,4,1,train
860,4,1,train
861,4,1,train
862,4,1,train
863,4,1,train
864,4,1,train
865,4,1,train
866,4,0,train
867,4,1,train
868,4,1,train
869,4,1,train
870,4,1,train
871,4,1,train
872,4,1,train
873,4,1,train
874,4,1,train
875,4,1,train
876,4,1,train
877,4,1,train
878,2,1,train
879,4,1,train
880,4,1,train
881,2,1,train
882,4,1,train
883,4,1,train
884,4,0,train
885,4,1,train
886,2,1,train
887,4,1,train
888,4,1,train
889,4,1,train
890,4,1,train
891,4,1,train
892,4,1,train
893,4,0,train
894,4,1,train
895,4,1,train
896,BOV_AFRI,1,train
897,4,1,train
898,4,1,train
899,4,1,train
900,4,1,train
901,4,1,train
902,4,1,train
903,4,1,train
904,4,1,train
905,4,1,train
906,4,1,train
907,2,1,train
908,4,1,train
909,4,1,train
910,4,1,train
911,4,1,train
912,4,1,train
913,4,1,train
914,4,1,train
915,4,1,train
916,4,1,train
917,4,1,train
918,4,1,train
919,4,1,train
920,4,1,train
921,4,1,train
922,4,1,train
923,2,1,train
924,4,1,train
925,4,1,train
926,4,1,train
927,4,1,train
928,4,1,train
929,4,1,train
930,4,1,train
931,4,1,train
932,4,1,train
933,4,1,train
934,4,1,train
935,4,0,train
936,4,1,train
937,4,1,train
938,4,1,train
939,4,1,train
940,4,1,train
941,4,1,train
942,4,1,train
943,4,1,train
944,4,1,train
945,4,1,train
946,4,1,train
947,2,0,train
948,4,1,train
949,4,1,train
950,4,1,train
951,4,1,train
952,4,1,train
953,2,1,train
954,2,1,train
955,4,1,train
956,4,1,train
957,4,1,train
958,4,1,train
959,4,1,train
960,4,1,train
961,4,1,train
962,4,1,train
963,4,1,train
964,2,1,train
965,4,1,train
966,4,1,train
967,4,1,train
968,4,1,train
969,4,1,train
970,4,1,train
971,4,1,train
972,4,1,train
973,4,1,train
974,4,1,train
975,4,1,train
976,4,1,train
977,4,1,train
978,4,1,train
979,4,1,train
980,4,1,train
981,4,1,train
982,4,1,train
983,4,1,train
984,4,1,train
