row_id,Lineage,label,split
0,2,1,train
1,2,0,train
2,4,0,train
5,4,0,train
7,4,0,train
8,4,1,train
9,4,0,train
10,4,0,train
11,4,0,train
12,4,1,train
13,4,1,train
14,4,0,train
15,4,0,train
16,2,0,train
17,4,1,train
18,4,0,train
19,4,0,train
20,4,0,train
21,4,1,train
22,4,1,train
23,4,0,train
24,4,0,train
25,4,0,train
26,4,0,train
27,4,0,train
28,4,0,train
29,4,0,train
30,2,1,train
31,4,0,train
32,4,0,train
33,4,0,train
34,4,0,train
35,4,0,train
36,4,1,train
37,2,0,train
38,2,1,train
39,2,0,train
41,4,0,train
42,4,0,train
43,4,1,train
44,4,0,train
52,4,0,train
53,4,1,train
54,4,0,train
55,4,0,train
57,4,1,train
58,4,1,train
59,4,1,train
60,4,1,train
61,4,0,train
62,4,1,train
63,4,1,train
64,4,0,train
65,4,0,train
66,4,0,train
67,4,0,train
68,4,0,train
69,4,0,train
70,4,1,train
71,4,0,train
72,4,1,train
73,2,1,train
74,4,1,train
75,4,1,train
76,4,1,train
77,4,1,train
78,4,1,train
79,4,1,train
80,4,1,train
81,4,1,train
82,2,1,train
83,4,1,train
86,4,1,train
87,4,0,train
88,4,0,train
89,4,0,train
90,4,0,train
91,4,0,train
92,2,0,train
93,2,1,train
94,2,0,train
95,2,0,train
96,2,1,train
97,4,1,train
98,4,0,train
99,4,1,train
100,4,0,train
101,4,0,train
102,4,0,train
103,4,0,train
104,2,1,train
105,2,0,train
106,2,0,train
107,2,1,train
108,4,0,train
109,4,0,train
110,4,0,train
111,4,1,train
112,4,1,train
113,4,1,train
114,2,0,train
115,2,0,train
116,4,0,train
117,2,0,train
118,4,0,train
119,4,1,train
120,4,1,train
122,4,0,train
123,4,1,train
124,4,0,train
125,4,0,train
126,4,0,train
127,4,0,train
128,4,0,train
129,4,0,train
130,2,1,train
131,4,0,train
132,4,0,train
133,4,1,train
134,4,0,train
135,4,1,train
136,4,1,train
137,4,1,train
138,2,1,train
139,2,1,train
140,4,1,train
141,4,1,train
142,4,0,train
143,2,0,train
144,4,0,train
145,4,0,train
146,2,1,train
147,4,1,train
148,4,1,train
149,2,0,train
150,4,1,train
151,2,0,train
152,2,1,train
153,2,0,train
154,2,0,train
155,2,0,train
156,2,0,train
157,2,0,train
158,2,0,train
159,2,1,train
160,2,0,train
161,2,0,train
162,2,0,train
163,2,0,train
164,2,0,train
165,2,0,train
166,2,0,train
167,4,0,train
168,2,1,train
169,1,0,train
170,2,0,train
171,2,0,train
172,2,1,train
173,2,0,train
174,2,0,train
175,2,1,train
176,1,0,train
177,2,1,train
178,2,1,train
179,2,1,train
180,4,1,train
181,2,0,train
182,2,0,train
183,2,0,train
184,2,1,train
185,2,0,train
186,2,0,train
187,2,1,train
188,2,0,train
189,2,0,train
190,1,1,train
191,2,0,train
192,2,1,train
193,2,1,train
194,2,1,train
195,2,1,train
196,"2,4",0,train
197,2,0,train
198,2,0,train
199,2,0,train
200,2,0,train
201,2,0,train
202,2,1,train
203,2,0,train
204,2,1,train
205,2,1,train
206,2,1,train
207,2,1,train
208,2,1,train
209,2,0,train
210,2,0,train
211,4,0,train
212,2,1,train
213,2,0,train
214,1,0,train
215,2,1,train
216,2,1,train
217,2,1,train
218,2,0,train
219,2,0,train
220,2,1,train
221,2,1,train
222,2,1,train
223,2,0,train
224,4,0,train
225,4,1,train
226,4,0,train
227,4,0,train
228,4,0,train
229,4,1,train
230,4,0,train
231,4,0,train
232,4,1,train
233,4,1,train
234,4,1,train
241,2,0,train
263,4,0,train
268,4,0,train
269,4,0,train
281,4,1,train
282,4,0,train
283,3,0,test
284,4,0,train
285,3,1,test
286,4,1,train
287,2,1,train
288,4,0,train
289,4,1,train
290,4,1,train
291,4,0,train
292,4,0,train
293,4,1,train
294,4,0,train
295,4,0,train
296,1,1,train
297,4,0,train
298,1,1,train
299,4,0,train
300,4,1,train
301,4,0,train
302,4,0,train
304,4,0,train
310,4,0,train
312,4,0,train
313,4,0,train
314,BOV_AFRI,0,train
315,2,0,train
316,2,0,train
317,4,1,train
318,4,1,train
319,4,1,train
320,2,0,train
321,4,1,train
322,4,1,train
323,4,0,train
324,1,1,train
325,4,1,train
326,4,1,train
327,2,1,train
328,4,1,train
329,2,1,train
330,4,1,train
331,4,1,train
332,3,1,test
333,4,0,train
334,4,1,train
335,4,1,train
336,4,1,train
337,2,1,train
338,3,0,test
339,4,1,train
341,2,1,train
342,2,1,train
343,2,1,train
345,2,0,train
346,4,1,train
347,3,1,test
348,2,0,train
350,2,1,train
351,4,1,train
352,2,1,train
354,4,0,train
355,2,0,train
361,4,1,train
368,4,1,train
369,4,1,train
370,3,1,test
371,4,1,train
372,4,0,train
373,1,1,train
374,2,0,train
375,4,1,train
377,2,1,train
378,2,0,train
379,4,1,train
380,4,1,train
381,2,1,train
383,1,1,train
384,1,0,train
385,4,0,train
386,4,0,train
388,4,1,train
390,1,0,train
391,1,0,train
392,4,0,train
393,4,1,train
395,2,1,train
396,2,1,train
397,BOV_AFRI,1,train
398,4,1,train
399,4,1,train
400,3,1,test
401,4,1,train
402,2,1,train
403,2,1,train
404,4,1,train
405,4,1,train
406,4,0,train
407,1,1,train
408,4,1,train
409,4,1,train
410,2,0,train
411,2,1,train
412,1,1,train
413,4,1,train
414,2,0,train
415,2,0,train
416,2,1,train
417,4,0,train
418,2,1,train
419,4,1,train
420,1,1,train
421,1,0,train
422,1,1,train
423,2,1,train
424,4,1,train
425,1,1,train
426,4,1,train
427,3,1,test
428,4,1,train
429,4,1,train
430,4,1,train
431,3,1,test
432,4,1,train
433,2,1,train
434,2,1,train
435,4,1,train
436,4,1,train
437,3,0,test
439,4,1,train
440,4,1,train
