row_id,Lineage,label,split
0,2,0,train
1,2,0,train
2,4,0,test
3,4,1,test
4,4,0,test
5,4,0,test
6,4,0,test
7,4,0,test
8,4,0,test
9,4,0,test
10,4,0,test
11,4,1,test
12,4,1,test
13,4,1,test
14,4,0,test
15,4,0,test
16,4,0,test
17,4,0,test
18,4,0,test
19,2,0,train
20,4,0,test
21,4,1,test
22,4,0,test
23,4,0,test
24,4,1,test
25,4,0,test
26,4,1,test
27,4,1,test
28,4,0,test
29,4,0,test
30,4,0,test
31,4,1,test
32,4,1,test
33,2,0,train
34,4,0,test
35,4,0,test
36,4,1,test
37,4,0,test
38,4,1,test
39,4,1,test
40,4,0,test
41,2,0,train
42,2,0,train
43,2,0,train
44,4,1,test
45,4,1,test
46,1,1,train
47,4,1,test
48,4,1,test
49,1,1,train
50,4,1,test
51,4,0,test
52,4,0,test
53,4,0,test
54,4,1,test
55,4,0,test
56,4,1,test
57,4,0,test
58,4,0,test
59,4,1,test
60,4,0,test
61,2,0,train
62,4,0,test
63,4,1,test
64,4,1,test
65,4,1,test
66,4,1,test
67,4,0,test
68,4,0,test
69,4,1,test
70,4,1,test
71,4,1,test
72,4,1,test
73,4,0,test
74,4,0,test
75,4,1,test
76,4,1,test
77,4,1,test
78,4,0,test
79,4,1,test
80,4,1,test
81,4,1,test
82,4,1,test
83,4,1,test
84,4,1,test
85,1,1,train
86,4,1,test
87,2,0,train
88,4,1,test
89,4,0,test
90,4,0,test
91,4,0,test
92,4,0,test
93,4,0,test
94,4,1,test
95,4,1,test
96,2,0,train
97,4,1,test
98,4,0,test
99,4,1,test
100,4,1,test
101,4,0,test
102,4,1,test
103,4,1,test
104,4,0,test
105,4,0,test
106,2,0,train
107,2,1,train
108,2,0,train
109,2,0,train
110,2,0,train
111,4,1,test
112,4,0,test
113,4,0,test
114,4,0,test
115,4,1,test
116,4,0,test
117,4,1,test
118,2,1,train
119,2,1,train
120,2,1,train
121,4,1,test
122,2,0,train
123,4,1,test
124,4,0,test
125,4,0,test
126,4,1,test
127,4,0,test
128,4,1,test
129,2,0,train
130,2,0,train
131,4,0,test
132,2,0,train
133,4,0,test
134,4,0,test
135,4,0,test
136,4,1,test
137,4,1,test
138,4,1,test
139,4,1,test
140,4,1,test
141,4,1,test
142,4,0,test
143,4,0,test
144,4,0,test
145,2,0,train
146,4,1,test
147,4,0,test
148,4,1,test
149,4,0,test
150,4,1,test
151,4,1,test
152,4,1,test
153,2,0,train
154,2,0,train
155,4,0,test
156,4,0,test
157,4,0,test
158,2,0,train
159,4,0,test
160,4,0,test
161,2,0,train
162,4,1,test
163,4,0,test
164,2,0,train
165,4,0,test
325,2,0,train
326,2,1,train
327,1,1,train
328,4,0,test
329,2,0,train
330,2,0,train
331,2,0,train
332,4,1,test
333,2,0,train
334,4,0,test
335,1,0,train
336,1,1,train
337,1,1,train
338,2,0,train
339,1,0,train
340,4,1,test
341,3,0,train
342,4,0,test
343,4,0,test
344,4,0,test
345,3,0,train
346,4,0,test
347,2,0,train
348,2,0,train
349,4,0,test
350,4,0,test
351,3,1,train
352,1,0,train
353,4,0,test
354,4,0,test
355,3,0,train
356,3,0,train
357,4,0,test
358,4,0,test
359,1,1,train
360,2,0,train
361,2,0,train
362,4,0,test
363,2,0,train
364,4,1,test
365,2,0,train
366,BOV_AFRI,0,train
367,2,1,train
368,4,0,test
369,1,0,train
370,2,0,train
371,BOV_AFRI,0,train
372,1,0,train
373,3,0,train
374,1,0,train
375,4,0,test
376,4,0,test
377,2,1,train
378,4,0,test
379,3,1,train
380,4,1,test
381,1,0,train
383,1,0,train
384,1,0,train
385,4,0,test
386,BOV_AFRI,0,train
387,4,0,test
388,4,1,test
389,4,0,test
390,4,0,test
391,4,1,test
392,4,1,test
393,1,1,train
394,2,1,train
395,2,1,train
397,2,0,train
398,4,1,test
399,4,0,test
400,4,0,test
401,3,0,train
403,4,1,test
404,1,0,train
405,3,1,train
406,1,0,train
408,2,1,train
409,1,1,train
410,3,1,train
411,4,1,test
412,2,1,train
413,2,1,train
415,4,1,test
416,4,1,test
419,4,1,test
420,4,0,test
421,4,0,test
422,4,1,test
423,4,1,test
424,4,0,test
425,1,1,train
427,1,0,train
428,BOV_AFRI,1,train
429,2,0,train
430,3,1,train
431,1,1,train
432,4,1,test
434,BOV_AFRI,1,train
435,4,1,test
438,4,0,test
439,4,0,test
441,4,1,test
442,1,1,train
443,4,1,test
444,2,0,train
445,4,1,test
446,4,1,test
447,4,1,test
448,4,1,test
449,2,1,train
450,4,1,test
451,4,0,test
452,4,1,test
453,4,0,test
454,4,1,test
455,1,1,train
456,2,1,train
457,4,1,test
458,4,1,test
459,4,1,test
460,3,1,train
461,1,1,train
462,2,1,train
463,4,1,test
464,1,1,train
465,1,1,train
