row_id,lineage,y,split
SAMN05916424,4,0,train
SAMN05918550,4,0,train
SAMN05916229,4,0,train
SAMN05916217,4,0,train
SAMN05916259,2,0,train
SAMN05916386,4,1,train
SAMN05915266,4,1,train
SAMN05916243,4,1,train
SAMN05915259,4,1,train
SAMN05915252,4,0,train
SAMN05918552,4,0,train
SAMN05825228,4,1,train
SAMN05915268,4,1,train
SAMN05915271,4,1,train
SAMN05916232,4,1,train
SAMN05915274,4,0,train
SAMN05830710,4,0,train
SAMN05915261,2,0,train
SAMN05916268,4,0,train
SAMN06094078,4,0,train
SAMN05916235,2,0,train
SAMN05915263,2,0,train
SAMN05916274,4,0,train
SAMN05916278,4,1,train
SAMN06094082,4,0,train
SAMN05915258,4,1,train
SAMN05916288,2,0,train
SAMN05916444,4,0,train
SAMN06094109,4,1,train
SAMN05916436,4,1,train
SAMN05916298,4,0,train
SAMN06094110,4,1,train
SAMN05916429,4,1,train
SAMN05916293,4,1,train
SAMN05916448,2,0,train
SAMN05916402,4,1,train
SAMN05916269,4,1,train
SAMN05916400,2,1,train
SAMN05916284,2,1,train
SAMN05915272,4,1,train
SAMN05916295,4,0,train
SAMN06094101,4,0,train
SAMN05915278,4,1,train
SAMN05918674,4,1,train
SAMN20693073,2,1,train
SAMN20693074,2,1,train
SAMN20693075,2,1,train
SAMN20693076,2,1,train
SAMN20693077,2,1,train
SAMN20693078,2,1,train
SAMN20693079,2,1,train
SAMN20693080,2,1,train
SAMN20693081,2,1,train
SAMN20693082,2,1,train
SAMN20693083,2,1,train
SAMN20693084,2,1,train
SAMN20693085,2,1,train
SAMN20693086,2,1,train
SAMN20693087,2,1,train
SAMN20693088,2,1,train
SAMN20693089,4,1,train
SAMN20693090,2,0,train
SAMN20693091,1,1,train
SAMN20693092,2,1,train
SAMN20693093,2,1,train
SAMN20693094,2,1,train
SAMN20693095,2,1,train
SAMN20693096,2,1,train
SAMN20693097,2,1,train
SAMN20693098,1,1,train
SAMN20693099,2,1,train
SAMN20693100,2,1,train
SAMN20693101,2,1,train
SAMN20693102,4,1,train
SAMN20693103,2,1,train
SAMN20693104,2,1,train
SAMN20693105,2,1,train
SAMN20693106,2,1,train
SAMN20693107,2,1,train
SAMN20693108,2,1,train
SAMN20693109,2,1,train
SAMN20693110,2,1,train
SAMN20693111,2,1,train
SAMN20693112,1,1,train
SAMN20693113,2,1,train
SAMN20693114,2,1,train
SAMN20693115,2,1,train
SAMN20693116,2,1,train
SAMN20693117,2,1,train
SAMN20693118,"2,4",1,train
SAMN20693119,2,1,train
SAMN20693120,2,1,train
SAMN20693121,2,1,train
SAMN20693122,2,1,train
SAMN20693123,2,1,train
SAMN20693124,2,1,train
SAMN20693125,2,1,train
SAMN20693126,2,1,train
SAMN20693127,2,1,train
SAMN20693128,2,1,train
SAMN20693129,2,1,train
SAMN20693130,2,1,train
SAMN20693131,2,1,train
SAMN20693132,2,1,train
SAMN20693133,4,1,train
SAMN20693134,2,1,train
SAMN20693135,2,1,train
SAMN20693136,1,1,train
SAMN20693137,2,1,train
SAMN20693138,2,1,train
SAMN20693139,2,1,train
SAMN20693140,2,1,train
SAMN20693141,2,1,train
