row_id,lineage,y,split
SAMN05916422,2,1,train
SAMN05918543,2,0,train
SAMN05918545,4,0,train
SAMN05918548,4,0,train
SAMN05916225,4,0,train
SAMN05916432,4,0,train
SAMN05918619,4,1,train
SAMN05916424,4,1,train
SAMN05918550,4,0,train
SAMN05916229,4,0,train
SAMN05916217,4,0,train
SAMN05916259,2,1,train
SAMN05916386,4,1,train
SAMN05915266,4,1,train
SAMN05916243,4,1,train
SAMN05915259,4,1,train
SAMN05915252,4,1,train
SAMN05918552,4,0,train
SAMN05825228,4,1,train
SAMN05915268,4,1,train
SAMN05915271,4,1,train
SAMN05916232,4,0,train
SAMN05915274,4,0,train
SAMN05830710,4,0,train
SAMN05915261,2,0,train
SAMN05916268,4,1,train
SAMN06094078,4,0,train
SAMN05916235,2,0,train
SAMN05915263,2,0,train
SAMN05916274,4,0,train
SAMN05916240,4,1,train
SAMN05916278,4,1,train
SAMN06094082,4,0,train
SAMN05915258,4,1,train
SAMN05916288,2,0,train
SAMN05916444,4,0,train
SAMN06094109,4,1,train
SAMN05916436,4,1,train
SAMN05916298,4,0,train
SAMN06094110,4,1,train
SAMN05916429,4,1,train
SAMN05916293,4,1,train
SAMN05916448,2,0,train
SAMN05916402,4,1,train
SAMN05916269,4,1,train
SAMN05916400,2,0,train
SAMN05916284,2,0,train
SAMN05915272,4,1,train
SAMN05916295,4,0,train
SAMN06094101,4,1,train
SAMN05915278,4,1,train
SAMN05918674,4,1,train
SAMN20693073,2,1,train
SAMN20693074,2,1,train
SAMN20693075,2,1,train
SAMN20693076,2,1,train
SAMN20693077,2,0,train
SAMN20693078,2,1,train
SAMN20693079,2,1,train
SAMN20693080,2,1,train
SAMN20693081,2,1,train
SAMN20693082,2,1,train
SAMN20693083,2,1,train
SAMN20693084,2,1,train
SAMN20693085,2,1,train
SAMN20693086,2,1,train
SAMN20693087,2,1,train
SAMN20693088,2,1,train
SAMN20693089,4,1,train
SAMN20693090,2,0,train
SAMN20693091,1,1,test
SAMN20693092,2,1,train
SAMN20693093,2,1,train
SAMN20693094,2,1,train
SAMN20693095,2,1,train
SAMN20693096,2,1,train
SAMN20693097,2,1,train
SAMN20693098,1,1,test
SAMN20693099,2,1,train
SAMN20693100,2,1,train
SAMN20693101,2,1,train
SAMN20693102,4,1,train
SAMN20693103,2,1,train
SAMN20693104,2,1,train
SAMN20693105,2,1,train
SAMN20693106,2,1,train
SAMN20693107,2,1,train
SAMN20693108,2,1,train
SAMN20693109,2,1,train
SAMN20693110,2,1,train
SAMN20693111,2,1,train
SAMN20693112,1,1,test
SAMN20693113,2,1,train
SAMN20693114,2,1,train
SAMN20693115,2,1,train
SAMN20693116,2,1,train
SAMN20693117,2,1,train
SAMN20693118,"2,4",1,train
SAMN20693119,2,1,train
SAMN20693120,2,1,train
SAMN20693121,2,1,train
SAMN20693122,2,1,train
SAMN20693123,2,1,train
SAMN20693124,2,1,train
SAMN20693125,2,1,train
SAMN20693126,2,1,train
SAMN20693127,2,1,train
SAMN20693128,2,1,train
SAMN20693129,2,1,train
SAMN20693130,2,1,train
SAMN20693131,2,1,train
SAMN20693132,2,1,train
SAMN20693133,4,1,train
SAMN20693134,2,1,train
SAMN20693135,2,1,train
SAMN20693136,1,1,test
SAMN20693137,2,1,train
SAMN20693138,2,1,train
SAMN20693139,2,1,train
SAMN20693140,2,1,train
SAMN20693141,2,1,train
SAMN26754244,2,1,train
SAMN26754245,2,1,train
SAMN26754246,4,1,train
SAMN20693142,2,1,train
SAMN26754247,2,1,train
SAMN26754248,4,1,train
SAMN20693143,2,1,train
SAMN20693144,2,0,train
SAMN20693145,2,0,train
SAMN26754249,2,1,train
SAMN26754250,2,1,train
SAMN26754251,4,1,train
SAMN26754252,2,1,train
SAMN26754253,4,1,train
SAMN20693146,2,1,train
SAMN26754254,2,1,train
SAMN26754255,4,1,train
SAMN20693147,2,0,train
SAMN20693148,2,0,train
SAMN20693149,2,1,train
SAMN20693150,2,0,train
SAMN26754256,2,1,train
SAMN20693151,2,1,train
SAMN26754257,2,1,train
SAMN20693153,2,1,train
SAMN20693155,2,0,train
SAMN20693156,2,1,train
SAMN20693157,2,1,train
SAMN26754258,2,1,train
SAMN20693158,2,0,train
SAMN20693159,2,0,train
SAMN20693160,2,1,train
SAMN20693161,2,0,train
SAMN26754259,2,1,train
SAMN20693162,2,0,train
SAMN26754260,2,1,train
SAMN26754261,2,1,train
SAMN26754262,2,1,train
SAMN20693163,2,0,train
SAMN20693164,2,1,train
SAMN26754263,2,1,train
SAMN26754264,2,1,train
SAMN20693165,2,1,train
SAMN26754265,2,1,train
SAMN20693166,4,1,train
SAMN20693167,4,1,train
SAMN20693168,4,1,train
SAMN20693169,4,1,train
SAMN20693170,4,1,train
SAMN20693171,4,1,train
SAMN20693172,4,1,train
SAMN20693173,4,1,train
SAMN20693174,4,1,train
SAMN20693175,4,1,train
SAMN20693176,4,1,train
SAMN20693177,4,1,train
SAMN20693178,4,1,train
SAMN20693179,4,1,train
SAMN20693180,4,1,train
SAMN20693181,4,1,train
SAMN20693182,4,1,train
SAMN20693183,2,0,train
SAMN20693184,4,1,train
SAMN20693185,4,1,train
SAMN20693186,4,1,train
SAMN20693187,4,1,train
SAMN26754266,2,1,train
SAMN20693188,2,0,train
SAMN26754267,2,1,train
SAMN20693189,2,0,train
SAMN20693190,2,1,train
SAMN20693191,2,1,train
SAMN26754268,2,1,train
SAMN20693192,2,0,train
SAMN20693193,2,1,train
SAMN20693194,4,1,train
SAMN20693195,4,1,train
SAMN20693196,4,1,train
SAMN20693197,4,1,train
SAMN20693198,4,1,train
SAMN20693199,2,1,train
SAMN20693200,4,1,train
SAMN20693201,4,1,train
SAMN20693202,4,1,train
SAMN20693203,4,1,train
SAMN20693204,4,1,train
SAMN20693205,4,1,train
SAMN20693206,4,1,train
SAMN05916345,4,0,train
SAMN05916431,4,1,train
SAMN05916357,4,0,train
SAMN05916349,4,1,train
SAMN05918557,4,1,train
SAMN06094087,4,0,train
SAMN05918561,4,0,train
SAMN06010119,2,1,train
SAMN06010120,4,1,train
SAMN06010121,4,1,train
SAMN06010122,4,1,train
SAMN06010124,4,1,train
SAMN06010125,2,1,train
SAMN06010126,4,1,train
SAMN06010128,4,1,train
SAMN06010129,4,1,train
SAMN06010130,4,1,train
SAMN06010131,4,1,train
SAMN06010132,4,1,train
SAMN06010133,4,1,train
SAMN06010134,4,1,train
SAMN06010135,4,1,train
SAMN06010136,4,1,train
SAMN06010137,4,1,train
SAMN06010138,4,1,train
SAMN06010139,4,0,train
SAMN06010140,4,1,train
SAMN06010141,4,1,train
SAMN06010142,4,1,train
SAMN06010143,4,1,train
SAMN06010144,4,1,train
SAMN06010145,4,1,train
SAMN06010146,4,1,train
SAMN06010148,4,1,train
SAMN06010149,4,1,train
SAMN06010150,4,1,train
SAMN06010151,4,1,train
SAMN06010152,4,1,train
SAMN06010153,4,1,train
SAMN06010156,4,1,train
SAMN06010157,4,1,train
SAMN06010158,4,1,train
SAMN06010159,4,1,train
SAMN06010160,4,0,train
SAMN06010161,4,1,train
SAMN06010162,4,1,train
SAMN06010163,4,1,train
SAMN06010164,4,1,train
SAMN06010165,4,1,train
SAMN06010166,4,1,train
SAMN06010167,4,1,train
SAMN06010168,4,1,train
SAMN06010169,4,0,train
SAMN06010170,4,1,train
SAMN06010172,4,1,train
SAMN06010173,4,1,train
SAMN06010174,4,1,train
SAMN06010175,4,1,train
SAMN06010177,2,1,train
SAMN06010178,4,1,train
SAMN06010179,4,1,train
SAMN06010180,4,1,train
SAMN06010182,4,1,train
SAMN06010183,4,1,train
SAMN06010184,4,1,train
SAMN06010185,4,1,train
SAMN06010186,4,1,train
SAMN06010187,4,1,train
SAMN06010188,4,1,train
SAMN06010189,4,1,train
SAMN06010190,4,1,train
SAMN06010191,4,1,train
SAMN06010192,4,1,train
SAMN06010193,4,1,train
SAMN06010194,4,1,train
SAMN06010195,4,1,train
SAMN06010196,4,1,train
SAMN06010197,4,1,train
SAMN06010198,4,1,train
SAMN06010199,4,1,train
SAMN06010200,4,1,train
SAMN06010201,4,1,train
SAMN06010202,4,1,train
SAMN06010205,4,1,train
