row_id,lineage,y,split
SAMN05916422,2,0,train
SAMN05918543,2,0,train
SAMN05918545,4,0,train
SAMN05918548,4,0,train
SAMN05916225,4,0,train
SAMN05916432,4,0,train
SAMN05918619,4,1,train
SAMN05916424,4,1,train
SAMN05918550,4,0,train
SAMN05916229,4,0,train
SAMN05916217,4,0,train
SAMN05916259,2,0,train
SAMN05916386,4,0,train
SAMN05915266,4,1,train
SAMN05916243,4,0,train
SAMN05915259,4,0,train
SAMN05915252,4,1,train
SAMN05918552,4,0,train
SAMN05825228,4,1,train
SAMN05915268,4,1,train
SAMN05915271,4,0,train
SAMN05916232,4,0,train
SAMN05915274,4,1,train
SAMN05830710,4,1,train
SAMN05915261,2,0,train
SAMN05916268,4,1,train
SAMN06094078,4,0,train
SAMN05916235,2,0,train
SAMN05915263,2,0,train
SAMN05916274,4,1,train
SAMN05916240,4,0,train
SAMN05916278,4,1,train
SAMN06094082,4,0,train
SAMN05915258,4,0,train
SAMN05916288,2,0,train
SAMN05916444,4,1,train
SAMN06094109,4,0,train
SAMN05916436,4,0,train
SAMN05916298,4,1,train
SAMN06094110,4,1,train
SAMN05916429,4,0,train
SAMN05916293,4,1,train
SAMN05916448,2,0,train
SAMN05916402,4,1,train
SAMN05916269,4,1,train
SAMN05916400,2,0,train
SAMN05916284,2,0,train
SAMN05915272,4,1,train
SAMN22416402,4,1,train
SAMN05916295,4,0,train
SAMN06094101,4,0,train
SAMN05915278,4,1,train
SAMN05918674,4,1,train
SAMN05916345,4,0,train
SAMN05916431,4,0,train
SAMN05916357,4,0,train
SAMN05916349,4,0,train
SAMN05918557,4,0,train
SAMN06094087,4,1,train
SAMN05918561,4,1,train
SAMN21856892,BOV_AFRI,1,train
SAMN21856895,BOV_AFRI,1,train
SAMN21856902,BOV_AFRI,1,train
SAMN06010119,2,0,train
SAMN06010120,4,1,train
SAMN06010121,4,1,train
SAMN06010122,4,1,train
SAMN06010124,4,1,train
SAMN06010125,2,1,train
SAMN06010126,4,0,train
SAMN06010128,4,0,train
SAMN06010129,4,1,train
SAMN06010130,4,1,train
SAMN06010131,4,1,train
SAMN06010132,4,1,train
SAMN06010133,4,1,train
SAMN06010134,4,1,train
SAMN06010135,4,0,train
SAMN06010136,4,0,train
SAMN06010137,4,1,train
SAMN06010138,4,1,train
SAMN06010139,4,1,train
SAMN06010140,4,1,train
SAMN06010141,4,1,train
SAMN06010142,4,1,train
SAMN06010143,4,1,train
SAMN06010144,4,1,train
SAMN06010145,4,1,train
SAMN06010146,4,0,train
SAMN06010148,4,0,train
SAMN06010149,4,1,train
SAMN06010150,4,0,train
SAMN06010151,4,0,train
SAMN06010152,4,1,train
SAMN06010153,4,1,train
SAMN06010156,4,1,train
SAMN06010157,4,1,train
SAMN06010158,4,1,train
SAMN06010159,4,0,train
SAMN06010160,4,0,train
SAMN06010161,4,0,train
SAMN06010162,4,1,train
SAMN06010163,4,0,train
SAMN06010164,4,0,train
SAMN06010165,4,0,train
SAMN06010166,4,0,train
SAMN06010167,4,1,train
SAMN06010168,4,1,train
SAMN06010169,4,0,train
SAMN06010170,4,1,train
SAMN06010172,4,0,train
SAMN06010173,4,0,train
SAMN06010174,4,1,train
SAMN06010175,4,0,train
SAMN06010177,2,0,train
SAMN06010178,4,1,train
SAMN06010179,4,1,train
SAMN06010180,4,1,train
SAMN06010182,4,1,train
SAMN06010183,4,1,train
SAMN06010184,4,1,train
SAMN06010185,4,1,train
SAMN06010186,4,1,train
SAMN06010187,4,1,train
SAMN06010188,4,1,train
SAMN06010189,4,0,train
SAMN06010190,4,0,train
SAMN06010191,4,1,train
SAMN06010192,4,0,train
SAMN06010193,4,1,train
SAMN06010194,4,1,train
SAMN06010195,4,1,train
SAMN06010196,4,1,train
SAMN06010197,4,1,train
SAMN06010198,4,1,train
SAMN06010199,4,1,train
SAMN06010200,4,1,train
SAMN06010201,4,1,train
SAMN06010202,4,1,train
SAMN06010205,4,1,train
SAMN06010206,4,1,train
SAMN06010207,4,1,train
SAMN06010208,4,0,train
SAMN06010209,4,1,train
SAMN06010211,4,0,train
SAMN06010213,4,0,train
SAMN06010214,4,1,train
SAMN06010216,2,0,train
SAMN06010217,4,1,train
SAMN06010218,4,1,train
SAMN06010219,2,0,train
SAMN06010220,4,0,train
SAMN06010221,4,1,train
SAMN06010222,4,0,train
SAMN06010223,4,0,train
SAMN06010224,4,0,train
SAMN06010225,4,0,train
SAMN06010226,4,1,train
SAMN06010227,4,0,train
SAMN06010228,4,1,train
SAMN06010229,4,1,train
SAMN06010230,4,1,train
SAMN06010231,4,0,train
SAMN06010232,4,0,train
SAMN06010233,4,0,train
SAMN06010234,4,1,train
SAMN06010235,4,0,train
SAMN06010236,4,1,train
SAMN06010237,4,1,train
SAMN06010238,4,1,train
SAMN06010239,4,1,train
SAMN06010240,4,1,train
SAMN06010241,4,0,train
SAMN06010242,4,0,train
SAMN06010243,4,0,train
SAMN06010244,4,1,train
SAMN06010245,4,0,train
SAMN06010246,2,1,train
SAMN06010247,4,0,train
SAMN06010248,4,1,train
SAMN06010249,4,0,train
SAMN06010250,4,1,train
SAMN06010251,4,1,train
SAMN06010253,4,1,train
SAMN06010254,4,1,train
SAMN06010255,4,0,train
SAMN06010256,4,1,train
SAMN06010257,4,0,train
SAMN06010410,4,1,train
SAMN06010355,4,1,train
SAMN06010431,4,1,train
SAMN06010364,4,1,train
SAMN06010448,4,1,train
SAMN06010440,4,0,train
SAMN06010468,4,1,train
SAMN06010408,4,1,train
SAMN06010326,4,1,train
SAMN06010337,4,1,train
SAMN06010435,4,0,train
SAMN06010387,4,1,train
SAMN06010327,4,1,train
SAMN06010422,4,1,train
SAMN06010482,4,1,train
SAMN06010467,4,1,train
SAMN06010463,4,0,train
SAMN06010369,4,1,train
SAMN06010360,4,1,train
SAMN06010319,4,1,train
SAMN06010481,4,1,train
SAMN06010427,4,1,train
SAMN06010480,4,0,train
SAMN06010464,4,1,train
SAMN06010331,4,1,train
SAMN06010430,2,0,train
SAMN06010406,4,0,train
SAMN06010402,4,0,train
SAMN06010420,4,1,train
SAMN06010455,4,1,train
SAMN06010479,4,1,train
SAMN06010462,4,1,train
SAMN06010333,4,1,train
SAMN06010472,4,1,train
SAMN06010491,4,0,train
SAMN05918520,4,1,train
SAMN06010476,4,0,train
SAMN06010446,2,1,train
SAMN06010407,4,0,train
SAMN06010478,4,1,train
SAMN05918521,4,1,train
SAMN06010433,4,0,train
SAMN06010328,4,1,train
SAMN06010383,4,0,train
SAMN06010392,4,1,train
