drug,full320,pca10,pca1,mean1,seqmean1,delta_pca10,delta_pca1,delta_mean1,delta_seqmean1,ndelta_pca10,ndelta_pca1,ndelta_mean1,ndelta_seqmean1
amikacin,0.5033333333333333,0.5052659574468086,0.5011879432624113,0.4977127659574467,0.4969326241134751,0.0019326241134752786,-0.0021453900709219598,-0.00562056737588662,-0.006400709219858192,0.0038396505565734015,-0.0042623643793151525,-0.01116669015076812,-0.012716640834155349
capreomycin,0.5023235499650593,0.499283717679944,0.4925925925925926,0.5,0.5007978103890054,-0.0030398322851153403,-0.009730957372466764,-0.002323549965059346,-0.0015257395760539527,-0.0060515424477446565,-0.019371891628699532,-0.00462560428477018,-0.0030373642170670283
ethambutol,0.7501768429532334,0.9112040918665556,0.8688272298440048,0.5,0.8281468713123044,0.1610272489133222,0.11865038689077145,-0.2501768429532334,0.07797002835907096,0.21465238553539404,0.15816322245256004,-0.3334904900134722,0.10393553079048012
ethionamide,0.6375132286111515,0.6632317237658483,0.5999792492374095,0.5000850781266212,0.6517316511381793,0.02571849515469682,-0.03753397937374192,-0.13742815048453028,0.014218422527027874,0.04034190037236656,-0.05887560867640539,-0.21556909616436212,0.022302945082415447
isoniazid,0.911733047575761,0.907388729323418,0.8873546684080447,0.5,0.8910733500717358,-0.004344318252343049,-0.024378379167716346,-0.411733047575761,-0.020659697504025187,-0.0047649015947094486,-0.026738505566444998,-0.45159386146036107,-0.02265980986315894
levofloxacin,0.8642857142857142,0.9214285714285716,0.8523809523809525,0.5,0.8055555555555555,0.057142857142857384,-0.011904761904761751,-0.3642857142857142,-0.058730158730158744,0.06611570247933912,-0.013774104683195416,-0.42148760330578505,-0.06795224977043161
moxifloxacin,0.80411434236616,0.820323859881031,0.8270323859881031,0.5,0.8213317911434237,0.016209517514870986,0.022918043621943163,-0.30411434236616,0.017217448777263722,0.0201582245967326,0.028500976060824003,-0.3781978834891606,0.021411692181239093
pyrazinamide,0.8507897345402655,0.8438433384529916,0.8484150844743635,0.5,0.7144347134625231,-0.006946396087273876,-0.0023746500659019842,-0.3507897345402655,-0.13635502107774244,-0.00816464492372777,-0.0027911127385489144,-0.4123107276674171,-0.16026876623214492
rifampicin,0.9686789681543166,0.9694682669582162,0.964804338680648,0.497847899092488,0.8762119067440436,0.0007892988038995519,-0.003874629473668678,-0.47083106906182864,-0.09246706141027305,0.0008148198008298365,-0.003999910807448671,-0.4860548071554933,-0.09545686904553756
streptomycin,0.8579527944070606,0.8324650987281935,0.57287195061285,0.5,0.8125380680480768,-0.025487695678867106,-0.2850808437942106,-0.3579527944070606,-0.045414726358983804,-0.029707573476093048,-0.33228033716147837,-0.41721735361261364,-0.05293382882489515
