drug,seqmean1,full320,pca10,mean1,delta_pca10,delta_mean1,delta_full320,ndelta_pca10,ndelta_mean1,ndelta_full320
amikacin,0.4969326241134751,0.5033333333333333,0.5052659574468086,0.4977127659574467,0.00833333333333347,0.0007801418439715713,0.006400709219858192,0.0167695436543336,0.0015699147250864034,0.012880436721732688
capreomycin,0.5007978103890054,0.5023235499650593,0.499283717679944,0.5,-0.0015140927090613876,-0.0007978103890053934,0.0015257395760539527,-0.003023361280044902,-0.0015930788283312922,0.003046617905275588
ethambutol,0.8281468713123044,0.7501768429532334,0.9112040918665556,0.5,0.08305722055425124,-0.32814687131230436,-0.07797002835907096,0.10029286281385871,-0.3962423607207666,-0.09415000051321513
ethionamide,0.6517316511381793,0.6375132286111515,0.6632317237658483,0.5000850781266212,0.011500072627668945,-0.15164657301155815,-0.014218422527027874,0.017645410664934413,-0.23268253543728265,-0.02181637565430024
isoniazid,0.8910733500717358,0.911733047575761,0.907388729323418,0.5,0.01631537925168214,-0.3910733500717358,0.020659697504025187,0.018309804967647916,-0.43887896550856614,0.023185181671477414
levofloxacin,0.8055555555555555,0.8642857142857142,0.9214285714285716,0.5,0.11587301587301613,-0.30555555555555547,0.058730158730158744,0.14384236453202004,-0.37931034482758613,0.07290640394088672
moxifloxacin,0.8213317911434237,0.80411434236616,0.820323859881031,0.5,-0.0010079312623927361,-0.3213317911434237,-0.017217448777263722,-0.0012271913412599512,-0.3912326231717867,-0.02096284225561793
pyrazinamide,0.7144347134625231,0.8507897345402655,0.8438433384529916,0.5,0.12940862499046857,-0.21443471346252307,0.13635502107774244,0.18113429058239192,-0.30014598874018966,0.1908572169133481
rifampicin,0.8762119067440436,0.9686789681543166,0.9694682669582162,0.497847899092488,0.0932563602141726,-0.3783640076515556,0.09246706141027305,0.10643128619503499,-0.43181792525227825,0.10553047807108179
streptomycin,0.8125380680480768,0.8579527944070606,0.8324650987281935,0.5,0.019927030680116697,-0.3125380680480768,0.045414726358983804,0.024524427179130812,-0.3846442158690149,0.05589242909945319
