drug,model,mean_auc,std_auc,ci_95,p_vs_baseline
amikacin,LogReg,0.5098416012836632,0.007780991539303983,"[0.503,0.517]",
amikacin,CNN-PCA10,0.5047210101720607,0.007116026839949089,"[0.498,0.511]",0.0625
amikacin,CNN-320,0.5040460048482005,0.007949059485760676,"[0.497,0.511]",0.3125
amikacin,CNN,0.5032040388849949,0.005167682247594053,"[0.499,0.508]",0.0625
amikacin,Transformer,0.4965619830707091,0.0033963605672733604,"[0.494,0.500]",0.0625
capreomycin,LogReg,0.5071442531888997,0.0032028220237738333,"[0.504,0.510]",
capreomycin,CNN-PCA10,0.49882177909103087,0.007106904498217724,"[0.493,0.505]",0.1875
capreomycin,CNN-320,0.49806436590604364,0.006657090860672277,"[0.492,0.504]",0.125
capreomycin,CNN,0.5026880969019334,0.0030726920692111296,"[0.500,0.505]",0.125
capreomycin,Transformer,0.4943725603481955,0.012656445105855799,"[0.483,0.505]",0.0625
ethambutol,LogReg,0.9228061053050407,0.0036206884687884433,"[0.920,0.926]",
ethambutol,CNN-PCA10,0.9167226397529845,0.013026336060404063,"[0.905,0.928]",0.4375
ethambutol,CNN-320,0.9005091115140864,0.02411839864162699,"[0.879,0.922]",0.125
ethambutol,CNN,0.9135717092753237,0.0050979045776040005,"[0.909,0.918]",0.125
ethambutol,Transformer,0.5269147591347003,0.08444516830616612,"[0.453,0.601]",0.0625
ethionamide,LogReg,0.6698458539910465,0.02153329024617365,"[0.651,0.689]",
ethionamide,CNN-PCA10,0.6627744452146269,0.03777894618293187,"[0.630,0.696]",1.0
ethionamide,CNN-320,0.6212509680920912,0.021821459803191307,"[0.602,0.640]",0.125
ethionamide,CNN,0.6296493660224914,0.042194980172595584,"[0.593,0.667]",0.3125
ethionamide,Transformer,0.5562431352699918,0.03933806872238402,"[0.522,0.591]",0.0625
isoniazid,LogReg,0.9304506259776997,0.008943477791911843,"[0.923,0.938]",
isoniazid,CNN-PCA10,0.9172330019273229,0.005255055052037274,"[0.913,0.922]",0.0625
isoniazid,CNN-320,0.9101278744473923,0.011256913302344039,"[0.900,0.920]",0.0625
isoniazid,CNN,0.9183047084186832,0.0033260152458877293,"[0.915,0.921]",0.0625
isoniazid,Transformer,0.8720926626425305,0.01491713430430806,"[0.859,0.885]",0.0625
levofloxacin,LogReg,0.928735661268556,0.03928814069990082,"[0.894,0.963]",
levofloxacin,CNN-PCA10,0.9446080977845683,0.024340292829026736,"[0.923,0.966]",0.4375
levofloxacin,CNN-320,0.9157524828113063,0.050074242465421234,"[0.872,0.960]",0.625
levofloxacin,CNN,0.940764170040486,0.048047742276699654,"[0.899,0.983]",0.625
levofloxacin,Transformer,0.6010824336482232,0.1954761766660959,"[0.430,0.772]",0.0625
moxifloxacin,LogReg,0.8412454145317048,0.015186889391587667,"[0.828,0.855]",
moxifloxacin,CNN-PCA10,0.8459561272061272,0.028404743879231285,"[0.821,0.871]",0.8125
moxifloxacin,CNN-320,0.8215745947600788,0.03545744026310288,"[0.790,0.853]",0.4375
moxifloxacin,CNN,0.8291875463246431,0.035973822777643695,"[0.798,0.861]",0.625
moxifloxacin,Transformer,0.6384440156617576,0.14231091154424363,"[0.514,0.763]",0.0625
pyrazinamide,LogReg,0.8448657338476387,0.01668104909806818,"[0.830,0.859]",
pyrazinamide,CNN-PCA10,0.8403222001544147,0.022833998301042043,"[0.820,0.860]",0.8125
pyrazinamide,CNN-320,0.8356706825417752,0.0168867260254481,"[0.821,0.850]",0.8125
pyrazinamide,CNN,0.7881542830688131,0.1612956903167926,"[0.647,0.930]",0.625
pyrazinamide,Transformer,0.657694785768097,0.05765453284584729,"[0.607,0.708]",0.0625
rifampicin,LogReg,0.9652020869642193,0.001525390580113674,"[0.964,0.967]",
rifampicin,CNN-PCA10,0.9650741913851568,0.004371801956207508,"[0.961,0.969]",0.625
rifampicin,CNN-320,0.9642033913146347,0.0026898007583883695,"[0.962,0.967]",0.625
rifampicin,CNN,0.9666303732425716,0.0018761381224025868,"[0.965,0.968]",0.3125
rifampicin,Transformer,0.6919277004258405,0.21056248210934903,"[0.507,0.876]",0.0625
streptomycin,LogReg,0.86958505370263,0.009449833873013291,"[0.861,0.878]",
streptomycin,CNN-PCA10,0.8146127075506465,0.02792820336725217,"[0.790,0.839]",0.0625
streptomycin,CNN-320,0.8559839377015136,0.010990189234464282,"[0.846,0.866]",0.0625
streptomycin,CNN,0.8609805851014031,0.009665280194578713,"[0.853,0.869]",0.3125
streptomycin,Transformer,0.7617764750400406,0.03706492735797282,"[0.729,0.794]",0.0625
