drug,model,test_r2,test_auc,test_mse,train_r2,train_auc,train_mse
rifampicin,logreg,0.9612595593976621,0.9612595593976621,0.03167645812392109,0.9696529978807009,0.9696529978807009,0.028897463207601556
pyrazinamide,logreg,0.8665413744112943,0.8665413744112943,0.24768838462598858,0.859612445540957,0.859612445540957,0.2478523499365118
capreomycin,logreg,0.5052527370137433,0.5052527370137433,0.24536907004102915,0.5193250606873175,0.5193250606873175,0.2438051428034076
amikacin,logreg,0.5079787234042553,0.5079787234042553,0.24886012590951231,0.5210522166587587,0.5210522166587587,0.24895977577142703
isoniazid,logreg,0.9319022870751341,0.9319022870751341,0.054888156823043016,0.9404216710472326,0.9404216710472324,0.055121079581654686
ethionamide,logreg,0.727865162981649,0.727865162981649,0.24864611104689116,0.7176313018704323,0.7176313018704323,0.24867744875177342
streptomycin,logreg,0.8505879210029033,0.8505879210029033,0.1334850850722024,0.8984873853385666,0.8984873853385666,0.11280803464534382
ethambutol,logreg,0.9207049118807834,0.9207049118807834,0.08972415979626372,0.9375079594944165,0.9375079594944165,0.07656785091053597
moxifloxacin,logreg,0.8172947684036393,0.8172947684036393,0.1077745733803602,0.8691938735691987,0.8691938735691987,0.10319221128590661
levofloxacin,logreg,0.8760683760683761,0.8760683760683761,0.24978815583114825,0.9357036406216733,0.9357036406216733,0.24976540366017916
