drug,heldout_lineage,train_n,train_r,train_s,test_n,test_r,test_s,feasible,ambiguous_rows_total,cross_lineage_ambiguous_rows_total,ambiguous_rows_test,cross_lineage_ambiguous_rows_test,model,auc,acc,pooled_auc,ci_lo,ci_hi
ethambutol,1,13748,2853,10895,1362,92,1270,True,14182,11572,1235,992,lasso,0.9277216706607324,0.9574155653450808,0.9278222103278188,0.8892825033344197,0.9603122365747548
ethambutol,1,13748,2853,10895,1362,92,1270,True,14182,11572,1235,992,logreg,0.9328697363916468,0.9537444933920703,0.9334946650007584,0.8954771820358413,0.9645488932598466
ethambutol,1,13748,2853,10895,1362,92,1270,True,14182,11572,1235,992,ridge,0.9388180417665182,0.9530102790014684,0.9386774971363924,0.9042630894245438,0.967110011449916
ethambutol,2,12013,1787,10226,3097,1158,1939,True,14182,11572,2962,2717,lasso,0.8671218716625649,0.8369389731998709,0.8671048958246158,0.8539965231815441,0.8797458388831737
ethambutol,2,12013,1787,10226,3097,1158,1939,True,14182,11572,2962,2717,logreg,0.8594649771395437,0.8366160800774943,0.8594340944597785,0.8454721236968725,0.8734526199114522
ethambutol,2,12013,1787,10226,3097,1158,1939,True,14182,11572,2962,2717,ridge,0.8689010947900604,0.8369389731998709,0.8688670994655777,0.8555595396137897,0.8817454864006552
ethambutol,3,12589,2747,9842,2521,198,2323,True,14182,11572,2330,1787,lasso,0.9377731251386008,0.950416501388338,0.9376460701984782,0.9143954105533952,0.9589681427604168
ethambutol,3,12589,2747,9842,2521,198,2323,True,14182,11572,2330,1787,logreg,0.9330324336781504,0.8710829036096787,0.932854281395736,0.9068686771607858,0.9559991789748412
ethambutol,3,12589,2747,9842,2521,198,2323,True,14182,11572,2330,1787,ridge,0.9418072242006807,0.9488298294327648,0.941547881970472,0.9201011187687232,0.9611605320095796
ethambutol,4,7227,1470,5757,7883,1475,6408,True,14182,11572,7484,6028,lasso,0.8622811527962928,0.894075859444374,0.8623258920534831,0.8497691444028166,0.8740424380895684
ethambutol,4,7227,1470,5757,7883,1475,6408,True,14182,11572,7484,6028,logreg,0.8774249349330286,0.9124698718761892,0.8774400485012,0.8653381578223994,0.8890158545449158
ethambutol,4,7227,1470,5757,7883,1475,6408,True,14182,11572,7484,6028,ridge,0.8705890941407985,0.8898896359254092,0.8705732270930688,0.8581834975977011,0.8821196676501436
