drug,heldout_lineage,train_n,train_r,train_s,test_n,test_r,test_s,feasible,ambiguous_rows_total,cross_lineage_ambiguous_rows_total,ambiguous_rows_test,cross_lineage_ambiguous_rows_test,model,auc,acc,pooled_auc,ci_lo,ci_hi
isoniazid,1,15852,5516,10336,1583,309,1274,True,17006,16273,1551,1536,lasso,0.8623007828971767,0.936197094125079,0.8624576499675992,0.8368553773031873,0.8872693119117786
isoniazid,1,15852,5516,10336,1583,309,1274,True,17006,16273,1551,1536,logreg,0.88373646695422,0.938092229943146,0.8839212029437388,0.8615578653507043,0.9055006716708408
isoniazid,1,15852,5516,10336,1583,309,1274,True,17006,16273,1551,1536,ridge,0.8758605010338715,0.9374605180037904,0.8759907410166597,0.8520538555838522,0.898996724185249
isoniazid,2,13978,3867,10111,3457,1958,1499,True,17006,16273,3358,3270,lasso,0.9301887332447032,0.9172693086491176,0.9302480799458274,0.922294968085686,0.9381589110709218
isoniazid,2,13978,3867,10111,3457,1958,1499,True,17006,16273,3358,3270,logreg,0.9570006153233924,0.9308649117732136,0.9570346536814452,0.950347560775217,0.9635366083237202
isoniazid,2,13978,3867,10111,3457,1958,1499,True,17006,16273,3358,3270,ridge,0.9322067622882396,0.9357824703500144,0.9321877419575838,0.9221983579143505,0.9414814133178432
isoniazid,3,14644,5190,9454,2791,635,2156,True,17006,16273,2714,2663,lasso,0.906605992432764,0.9570046578287352,0.9065330325464742,0.8884293066706732,0.9231120626572508
isoniazid,3,14644,5190,9454,2791,635,2156,True,17006,16273,2714,2663,logreg,0.9312130220735396,0.9584378359011108,0.9311604595747588,0.9163336776107142,0.9454928759771122
isoniazid,3,14644,5190,9454,2791,635,2156,True,17006,16273,2714,2663,ridge,0.9147977444377894,0.9613041920458616,0.914729651720405,0.89718445912919,0.930884958716067
isoniazid,4,8087,2960,5127,9348,2865,6483,True,17006,16273,9144,8601,lasso,0.8856462828409596,0.9264013692768508,0.8856011316760698,0.8781923310245915,0.8935042736998748
isoniazid,4,8087,2960,5127,9348,2865,6483,True,17006,16273,9144,8601,logreg,0.9162009702379076,0.3087291399229782,0.9161937074068012,0.9092402023605244,0.9233356084497208
isoniazid,4,8087,2960,5127,9348,2865,6483,True,17006,16273,9144,8601,ridge,0.8876330335292277,0.3081942661531878,0.8876058687843419,0.8785918271985961,0.8965265478672007
