drug,heldout_lineage,train_n,train_r,train_s,test_n,test_r,test_s,feasible,ambiguous_rows_total,cross_lineage_ambiguous_rows_total,ambiguous_rows_test,cross_lineage_ambiguous_rows_test,model,auc,acc,pooled_auc,ci_lo,ci_hi
pyrazinamide,1,11860,1990,9870,981,83,898,True,0,0,0,0,lasso,0.7519722542732177,0.944954128440367,0.7517008797741958,0.6882667522660055,0.8139986632642013
pyrazinamide,1,11860,1990,9870,981,83,898,True,0,0,0,0,logreg,0.7619811092924035,0.9367991845056064,0.7613508059851941,0.6996391654684067,0.8214624828653427
pyrazinamide,1,11860,1990,9870,981,83,898,True,0,0,0,0,ridge,0.7515563367053962,0.9418960244648318,0.7513050910685115,0.688271802198856,0.8137902812461651
pyrazinamide,2,10480,1373,9107,2361,700,1661,True,0,0,0,0,lasso,0.6456140878988562,0.7399407030919102,0.6455058256945332,0.6269382785865161,0.6641950138549205
pyrazinamide,2,10480,1373,9107,2361,700,1661,True,0,0,0,0,logreg,0.8015868237722543,0.8034731046166879,0.8014721288377856,0.7809551219568799,0.8222505216890061
pyrazinamide,2,10480,1373,9107,2361,700,1661,True,0,0,0,0,ridge,0.7931065623118604,0.8229563744176197,0.7929550202094413,0.7711315404271707,0.8145662472817646
pyrazinamide,3,10429,1918,8511,2412,155,2257,True,0,0,0,0,lasso,0.7412437291866166,0.9560530679933664,0.7414821160722422,0.6971275514131754,0.7851166566015771
pyrazinamide,3,10429,1918,8511,2412,155,2257,True,0,0,0,0,logreg,0.7323766918690241,0.9539800995024876,0.7323830781358769,0.6839708236283059,0.7801469798991765
pyrazinamide,3,10429,1918,8511,2412,155,2257,True,0,0,0,0,ridge,0.7692426429602528,0.9539800995024876,0.7693049562911146,0.7249934896555338,0.812221044096811
pyrazinamide,4,5976,1040,4936,6865,1033,5832,True,0,0,0,0,lasso,0.6313428963544593,0.8700655498907501,0.6313047425008105,0.6163421828540464,0.6462740278627367
pyrazinamide,4,5976,1040,4936,6865,1033,5832,True,0,0,0,0,logreg,0.8232106766154487,0.9264384559359068,0.8231217619830508,0.8062362814505319,0.8402787929992794
pyrazinamide,4,5976,1040,4936,6865,1033,5832,True,0,0,0,0,ridge,0.8243809067573902,0.9134741442097596,0.8242992024185054,0.8072778955334002,0.8411342428881309
