drug,heldout_lineage,train_n,train_r,train_s,test_n,test_r,test_s,feasible,ambiguous_rows_total,cross_lineage_ambiguous_rows_total,ambiguous_rows_test,cross_lineage_ambiguous_rows_test,model,auc,acc,pooled_auc,ci_lo,ci_hi
rifampicin,1,15956,4703,11253,1625,166,1459,True,0,0,0,0,lasso,0.953597116361264,0.9747692307692308,0.9536077183569908,0.9311414411794792,0.973917475889956
rifampicin,1,15956,4703,11253,1625,166,1459,True,0,0,0,0,logreg,0.9508761571302344,0.9747692307692308,0.9509462149435384,0.9258293705201408,0.9731244132440056
rifampicin,1,15956,4703,11253,1625,166,1459,True,0,0,0,0,ridge,0.9509257041875522,0.9753846153846154,0.9509940391012164,0.9259869636898282,0.9731805303624538
rifampicin,2,14072,3040,11032,3509,1829,1680,True,0,0,0,0,lasso,0.9623743784008956,0.9526930749501282,0.9623278696755192,0.9551733354449822,0.9689713917105134
rifampicin,2,14072,3040,11032,3509,1829,1680,True,0,0,0,0,logreg,0.9630073680647768,0.9532630379025364,0.9629684548544214,0.9562070663785424,0.9694320082681542
rifampicin,2,14072,3040,11032,3509,1829,1680,True,0,0,0,0,ridge,0.9625296154547112,0.9524080934739242,0.9624856669252588,0.955340977556827,0.9690845111630946
rifampicin,3,14788,4402,10386,2793,467,2326,True,0,0,0,0,lasso,0.964401579021986,0.979591836734694,0.96435503425448,0.9518348648373252,0.9758139478508298
rifampicin,3,14788,4402,10386,2793,467,2326,True,0,0,0,0,logreg,0.9677852633206964,0.9792337987826708,0.9677211089524232,0.956456913325714,0.9782237108560852
rifampicin,3,14788,4402,10386,2793,467,2326,True,0,0,0,0,ridge,0.9656632684061194,0.9792337987826708,0.9656075121659716,0.9533203285584072,0.9769404382955528
rifampicin,4,8178,2496,5682,9403,2373,7030,True,0,0,0,0,lasso,0.9583955403936772,0.9672444964373073,0.9583758164457706,0.9528931395885842,0.9636734990238416
rifampicin,4,8178,2496,5682,9403,2373,7030,True,0,0,0,0,logreg,0.9583885568981052,0.965542911836648,0.9583760656195656,0.95289782869789,0.9637275045877748
rifampicin,4,8178,2496,5682,9403,2373,7030,True,0,0,0,0,ridge,0.9584513484140872,0.9672444964373073,0.9584375658140648,0.9529980695802815,0.9638182868076742
