drug,heldout_lineage,train_n,train_r,train_s,test_n,test_r,test_s,feasible,ambiguous_rows_total,cross_lineage_ambiguous_rows_total,ambiguous_rows_test,cross_lineage_ambiguous_rows_test,model,auc,acc,pooled_auc,ci_lo,ci_hi
streptomycin,1,7024,2351,4673,658,65,593,True,7397,6182,626,597,lasso,0.7375535088857179,0.8601823708206687,0.7379496748725621,0.6681437920434101,0.8040265722519622
streptomycin,1,7024,2351,4673,658,65,593,True,7397,6182,626,597,logreg,0.7517057984174341,0.8267477203647416,0.7517242931089735,0.6829755289196092,0.8148080996617737
streptomycin,1,7024,2351,4673,658,65,593,True,7397,6182,626,597,ridge,0.754468802698145,0.8480243161094225,0.7545154443827143,0.6856815996610982,0.8179461415303441
streptomycin,2,5716,1357,4359,1966,1059,907,True,7397,6182,1931,1644,lasso,0.8558181929864563,0.8418107833163785,0.8557954568091085,0.8395969923918493,0.8710953884059929
streptomycin,2,5716,1357,4359,1966,1059,907,True,7397,6182,1931,1644,logreg,0.849190484668089,0.8168870803662258,0.8491898825606002,0.8325753783995715,0.8649811215494861
streptomycin,2,5716,1357,4359,1966,1059,907,True,7397,6182,1931,1644,ridge,0.8426335718517084,0.8168870803662258,0.8426602629185421,0.8261821081411439,0.8587420381628101
streptomycin,3,7167,2334,4833,515,82,433,True,7397,6182,485,457,lasso,0.828352954430237,0.8776699029126214,0.8278649406639322,0.7617796001044348,0.8883226381069669
streptomycin,3,7167,2334,4833,515,82,433,True,7397,6182,485,457,logreg,0.8034839182110066,0.8699029126213592,0.8034452945444701,0.7329174610657784,0.8680158228157903
streptomycin,3,7167,2334,4833,515,82,433,True,7397,6182,485,457,ridge,0.8288739931279221,0.8757281553398059,0.8283259003905121,0.7653351199714795,0.886866648703174
streptomycin,4,3257,1226,2031,4425,1190,3235,True,7397,6182,4261,3398,lasso,0.6572341641447924,0.8085875706214689,0.6571231850995057,0.6369703701380947,0.6770505907290674
streptomycin,4,3257,1226,2031,4425,1190,3235,True,7397,6182,4261,3398,logreg,0.6461474419752448,0.7938983050847458,0.6459637750050031,0.6234956473439874,0.6681767167979964
streptomycin,4,3257,1226,2031,4425,1190,3235,True,7397,6182,4261,3398,ridge,0.6529787123504733,0.8085875706214689,0.6528019961555552,0.6302847201170788,0.6750806715020595
