architecture,drug,random_p10,random_r10,lineage_controlled_p10_mean,lineage_controlled_r10_mean,delta_p10,delta_r10,n_lineages
cnn,capreomycin,0.1,0.5,0.15,0.75,0.05,0.25,2
cnn,ethambutol,0.6,1.0,0.475,0.792,-0.125,-0.208,4
cnn,ethionamide,0.1,0.1,0.15,0.15,0.05,0.05,2
cnn,isoniazid,0.2,0.67,0.2,0.667,0.0,-0.003,4
cnn,moxifloxacin,0.5,0.5,0.6,0.6,0.1,0.1,2
cnn,pyrazinamide,1.0,0.11,0.975,0.103,-0.025,-0.007,4
cnn,rifampicin,1.0,0.38,1.0,0.385,0.0,0.005,4
cnn,streptomycin,0.7,0.7,0.775,0.775,0.075,0.075,4
esm_full320,capreomycin,0.0,0.0,0.0,0.0,0.0,0.0,2
esm_full320,ethambutol,0.1,0.17,0.35,0.583,0.25,0.413,4
esm_full320,ethionamide,0.1,0.1,0.2,0.2,0.1,0.1,2
esm_full320,isoniazid,0.0,0.0,0.2,0.667,0.2,0.667,4
esm_full320,moxifloxacin,0.5,0.5,0.5,0.5,0.0,0.0,2
esm_full320,pyrazinamide,0.9,0.09,0.875,0.092,-0.025,0.002,4
esm_full320,rifampicin,0.7,0.27,0.875,0.337,0.175,0.067,4
esm_full320,streptomycin,0.4,0.4,0.475,0.475,0.075,0.075,4
regression,capreomycin,0.0,0.0,0.0,0.0,0.0,0.0,2
regression,ethambutol,0.6,1.0,0.575,0.958,-0.025,-0.042,4
regression,ethionamide,0.1,0.1,0.25,0.25,0.15,0.15,2
regression,isoniazid,0.3,1.0,0.3,1.0,0.0,0.0,4
regression,moxifloxacin,0.7,0.7,0.8,0.8,0.1,0.1,2
regression,pyrazinamide,0.8,0.08,0.825,0.087,0.025,0.007,4
regression,rifampicin,0.7,0.27,0.65,0.25,-0.05,-0.02,4
regression,streptomycin,0.4,0.4,0.425,0.425,0.025,0.025,4
transformer,capreomycin,0.0,0.0,0.0,0.0,0.0,0.0,2
transformer,ethambutol,0.2,0.33,0.075,0.125,-0.125,-0.205,4
transformer,ethionamide,0.0,0.0,0.0,0.0,0.0,0.0,2
transformer,isoniazid,0.1,0.33,0.1,0.333,0.0,0.003,4
transformer,moxifloxacin,0.4,0.4,0.55,0.55,0.15,0.15,2
transformer,pyrazinamide,0.7,0.07,0.85,0.089,0.15,0.019,4
transformer,rifampicin,0.5,0.19,0.65,0.25,0.15,0.06,4
transformer,streptomycin,0.2,0.2,0.425,0.425,0.225,0.225,4
